freq,age,indic_he,unit,sex,icd10,geo,time,value
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2017,16792.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2017,32946.3
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2017,17092.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CY,2017,7751.5
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2017,19813.6
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2017,25477.9
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2017,10435.7
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2017,16423.5
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2017,18608.9
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2017,16022.7
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2017,19449.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IS,2017,11452.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IT,2017,11597.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LI,2017,4125.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,MT,2017,15479.7
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2017,21649.5
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2017,18151.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,RO,2017,20770.0
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,SI,2017,17613.0
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,SK,2017,19507.7
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,AT,2017,24925.6
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,BE,2017,15741.5
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,BG,2017,32342.0
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,CH,2017,16446.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,CY,2017,7719.6
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,CZ,2017,18846.0
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,DE,2017,24824.5
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,EE,2017,15638.6
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,ES,2017,10405.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,FI,2017,16419.0
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,FR,2017,17634.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,HR,2017,15525.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,HU,2017,19047.3
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,IE,2017,13344.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,IS,2017,10561.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,IT,2017,10950.9
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,LI,2017,4125.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,LT,2017,22511.3
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,LV,2017,16553.5
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,ME,2017,11789.4
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,MT,2017,14620.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,NL,2017,9247.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,NO,2017,20671.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,PL,2017,17616.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,RO,2017,20523.4
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,RS,2017,14469.9
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,SE,2017,12936.9
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,SI,2017,16903.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,SK,2017,18813.1
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,AT,2017,94.4
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,BE,2017,129.0
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,BG,2017,353.5
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,CH,2017,91.3
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,CY,2017,29.1
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,CZ,2017,80.0
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,DE,2017,116.3
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,ES,2017,38.1
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,FI,2017,54.3
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,FR,2017,68.3
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,HR,2017,51.3
