freq,age,indic_he,unit,sex,icd10,geo,time,value
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2021,15113.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2021,29268.6
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2021,16545.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2021,15908.6
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2021,21790.0
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2021,9519.3
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2021,14368.3
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2021,16515.0
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2021,12455.3
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LI,2021,5643.0
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NL,2021,7779.0
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2021,15448.4
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2021,14509.7
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PT,2021,7702.3
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,RO,2021,13212.3
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,SE,2021,13012.4
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,SI,2021,15100.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,AT,2021,20917.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,BE,2021,14065.7
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,BG,2021,26294.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,CH,2021,15903.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,CY,2021,10097.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,CZ,2021,14833.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,DE,2021,21142.5
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,EE,2021,13469.4
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,ES,2021,8983.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,FI,2021,14253.6
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,FR,2021,15206.1
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,HR,2021,13813.4
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,HU,2021,10414.3
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,IE,2021,11930.5
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,IT,2021,9327.7
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,LI,2021,5637.9
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,LT,2021,16251.4
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,LV,2021,15259.4
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,ME,2021,9617.2
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,NL,2021,7376.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,NO,2021,14546.7
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,PL,2021,13407.6
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,PT,2021,6743.4
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,RO,2021,12967.7
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,RS,2021,12035.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,SE,2021,11640.5
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,SI,2021,14402.8
A,TOTAL,INPAT,P_HTHAB,T,A-T_Z_XNB,SK,2021,14271.8
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,AT,2021,55.9
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,BE,2021,108.3
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,BG,2021,90.0
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,CH,2021,80.1
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,CY,2021,30.8
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,CZ,2021,74.1
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,DE,2021,66.2
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,ES,2021,29.2
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,FI,2021,41.1
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,FR,2021,48.0
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,HR,2021,29.8
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,HU,2021,13.7
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,IE,2021,56.6
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,IT,2021,13.7
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,LI,2021,104.6
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,LT,2021,170.0
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,LV,2021,91.2
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,ME,2021,142.4
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,NL,2021,29.3
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,NO,2021,40.3
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,PL,2021,88.2
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,PT,2021,13.8
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,RO,2021,52.7
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,RS,2021,52.1
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,SE,2021,36.2
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,SI,2021,55.3
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,SK,2021,140.3
